"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_6_path","candidate_7_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","candidate_6_confidence","candidate_6_kind","candidate_6_locator","candidate_6_resolution_px","candidate_6_use","candidate_6_association_basis","candidate_6_inspection_reference","candidate_6_sha256","candidate_7_confidence","candidate_7_kind","candidate_7_locator","candidate_7_resolution_px","candidate_7_use","candidate_7_association_basis","candidate_7_inspection_reference","candidate_7_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Heptapleurum actinophyllum","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/C. HERO SHOTS A-Z/HH/PICK/EXTRAS/Red-collared Lorikeet feeding on Heptapleurum actinophyllum .909a.JPG","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/C. HERO SHOTS A-Z/HH/PICK/EXTRAS/White-gaped Honeyeaters on Heptapleurum actinophyllum.125.a.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/1 1 1 1 1 1 TIM MOORE TNP/FOLDER 2/Heptapleurum actinophyllum.574.a.jpg","","","","","A","loose photograph","","2254x1690","gallery option","Species named in the filename.","E270-04","cb5ec269701e640945d9a57d403924c137d72a67f17c94b6c2bb403dcd8664d0","A","loose photograph","","2892x2169","gallery option","Species named in the filename.","E270-01","d1a716a0df00319e645bd1d06308ceeaa4cf15c0d97a3965e201d2749b1eaa01","A","loose photograph","","3647x4559","gallery option","Species named in the filename.","E270-03","e777575d81587039f6e8226445d3724e774533d2d6328e6cf4e076f5b666b151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Lorikeet and honeyeater interactions plus a different crown/flower stage; wildlife shots are ecological context, not separate diagnostic organs.","plant-211ba216ccf9b631","19","",""
"Hernandia nymphaeifolia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","No distinct addition shortlisted","Only existing loose copies found, with no additional reviewed book image. No distinct addition shortlisted.","plant-2ccea96fa0a77241","5","",""
"Hibbertia cistifolia","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FOTOS/Hibbertia cistifolia I D Cowie.jpg","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Dilleniaceae Dillenia Hibbertia/Hibbertia/Hibbertia cistifolia 20.JPG","","","","","","A","loose photograph","","500x373","gallery option","Species named in the filename.","E272-02","d6c5738315d38163b46cd1b09cafc4dc6edada7a97d6ae0ae5cf6a98e50360d0","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E272-03","5f5d162be750c03cc92f90c21a0b4dbffe2c0caef043ce02707116dc1745d43c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Closer open flowers and whole spreading habit complement the existing stem views.","plant-8f653becb4090b84","6","",""
"Hibbertia dilatata","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FOTOS/Hibbertia dilatata edemic B Stuckey.jpg","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","A","loose photograph","","412x500","gallery option","Species named in the filename.","E273-01","0dc67fcc75cbfd623219b0da93b95f8a8a23a5f22a0780abff5dfba2592a7973","A","book image","PDF page 245; printed page 244; page-object index 2 (zero-based)","566x569","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p245-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Whole plant and older book close reproductive structures add context. Other loose sequence is explicitly uncertain and is not preferred over the named file.","plant-0f4bf2dbaae86b0e","4","",""
"Hibbertia tasmanica","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Dilleniaceae Dillenia Hibbertia/Hibbertia/Hibbertia tasmanica 478 (2).JPG","","","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E274-01","390c99bb2aea64e6ef32d6278e0f5cb1425a4abafa8b97aca3edd6e059c1c500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Wider flowering patch adds habit; most alternatives repeat current flowers.","plant-044d61316f09cd8e","6","",""
"Hibiscus leptocladus","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/H H H/Hibiscus leptocladus VRD 27.4.25/_1300076.JPG","/Volumes/Crucial X10/SD/H H H/Hibiscus leptocladus VRD 27.4.25/_1300071.JPG","","","","","A","book image","PDF page 246; printed page 245; page-object index 1 (zero-based)","567x572","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p246-o1","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E275-03","8b1c9471ef2407909a05f2a375c12e1621bc8be9be013647e5c9ab166993169d","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E275-05","f6523aed23ad058b11eaccb1921fd9d498aaf3891c5d70e2b6c9f001a8bcc9f0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Whole stem with flowers and side-on flower/leaf context. Candidate 6 has a yellow flower unlike this reviewed series and is not shortlisted from the mixed shoot. Secondary frames 7 and 11 also show the yellow-flowered plant from the mixed sequence; these are not accepted as H. leptocladus.","plant-98b729520df5898d","3","",""
"Hibiscus menzeliae","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/HH/Hibiscus menzeliae/PICK/EXTRA/Hibiscus menzeliae habitat.3.IM.jpg","/Volumes/Crucial X10/SD/H H H/Hibiscus menzeliae/Hibiscus menzeliae 1 Ubirr Kakadu IM.jpg","/Volumes/Crucial X10/SD/H H H/Hibiscus menzeliae/P1060047.JPG","","","","","A","loose photograph","","2736x3648","gallery option","Species named in the filename.","E276-01","9df6dbcd7d99ba82545c5e4b4f072a4acccf3a7baf44a668ff840392c140ee61","A","loose photograph","","3648x2736","gallery option","Species named in the filename.","E276-03","9d12a79e2e6df5b7be02afb2c81b19cbb349e769562a3abf154bba0ce63ac183","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E276-11","b316ed6cf4c435ca3f866acd2d9e124664b76cf9869877989fb06063821c9c08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Whole plant in rocky habitat and side-on flower add habit and floral profile. Additional sequence has dry reproductive structures on the branches.","plant-59ed128ab9e2a45f","7","",""
"Hibiscus meraukensis","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/HH/Hibiscus meraukensis/PICK/EXTRA/Hibiscus meraukensis.704.b.JPG","/Volumes/Crucial X10/SD/H H H/Hibiscus meraukensis/_1270683.JPG","","","","","","A","loose photograph","","2592x1944","gallery option","Species named in the filename.","E277-02","148dc26e832bf5cf173f7b036d7f6cb4b8857542681bc2fdf88062b1cfcea8f3","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E277-04","0f1764d069c6493748c600f7aa6b989daeae588e3ff388ecab0a749d351b1cb1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Leafy flowering branch and whole plant among grasses. Photographer-in-frame image is not preferred for the species gallery.","plant-ff67732c6d0a4e86","6","",""
"Hibiscus panduriformis","/Volumes/Crucial X10/SD/H H H/Hibiscus panduriformis TBC VRD 27.4.25/SELECT/_1300168##.JPG","","","","","","","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E278-04","4b86948e6e9a7b752bb354962eb5ea948b0286b5d76332fbb82d928b8eb3e0aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Uncertain loose leads only","Wider habitat/whole-plant view is useful but comes from an uncertain-labelled sequence; current images already cover flowers.","plant-e1dc98458b10d40e","6","",""
"Hibiscus petherickii","/Volumes/Crucial X10/SD/# A A COMPLETED/Hibiscus petherickii/Photos from R Dempster/25 Hibiscus petherickii 3 20250517_111405.jpg","/Volumes/Crucial X10/SD/# A A COMPLETED/Hibiscus petherickii/Photos from R Dempster/29 Hibiscus petherickii 7 20250517_112955.jpg","","","","","","A","loose photograph","","1832x3224","gallery option","Species named in the filename.","E279-02","f01c638d327a04ded53c043fb7cf4735c3a6e3fee5ccb2d0cbd47c4d94c737d6","A","loose photograph","","1884x3378","gallery option","Species named in the filename.","E279-07","3f533cb8b61d02616951314535885d9db108948a56cce741d8d09a52dc20216c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","1","Supported loose additions","Current gallery contains two plant photos and a map. Non-flowering foliage adds leaf shape; most alternatives repeat flowers. Additional named photograph shows the entire slender plant in woodland.","plant-160db29e83db95df","8","",""
"Hildegardia australiensis","/Volumes/Crucial X10/SD/# A A COMPLETED/Hildegardia australienis/SELECT/Hildegardia australasica fruit Malvaceae.jpg","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/HH/Hildegardia australienis (N)/PICK/EXTRA/Hildegardia australienis.285.a.JPG","/Volumes/Crucial X10/SD/H H H/Hildigardia australasica (Malvaceae ex Stercul) NEW SP/P1160143.JPG","","","","","B","loose photograph","","486x500","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E280-04","cfb8be9d983a15f0864bdf99ef59d6647ba3bad84edbf5a637ff98a5c0064409","B","loose photograph","","3162x2371","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E280-05","c719a60e1cb66c127a863d74852d02a648608c955429805232ea8c7adc072ab3","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E280-09","7b83163286025d3683d37ebd302ee7f30932b325717a3929339b2bb68aa905f0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Green and dry winged fruits broaden the existing flower, crown and pale-fruit views; variant source spelling needs to remain visible. Additional sequence shows the leafless tree architecture.","plant-b80caea54383a1e6","22","",""
"Horsfieldia australiana","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/H H H/Horsefieldia australiana/Study of fruit and seed/_1130564.JPG","/Volumes/Crucial X10/SD/H H H/Horsefieldia australiana/_1120419.JPG","","","","","A","book image","PDF page 249; printed page 248; page-object index 2 (zero-based)","566x565","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p249-o2","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E281-05","28680a83f6c21b1024f7e2b243360b28366225d2fdc60a495b5aa92f56e288c8","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E281-11","59ea9a55948d42321ae410ee22deb1210a76a2b00e3bea14ddc0a98e08ca2715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Laid-out fruit/seed comparison offers scale/context; older book main view adds broad leaves, though its fruit inset repeats a current subject. Additional sequence has bark detail.","plant-1e838859f91453dc","10","",""
"Hoya australis subsp. rupicola","/Volumes/Crucial X10/SD/H H H/Hoya australis subsp. rupicola/P1190825.JPG","/Volumes/Crucial X10/SD/H H H/Hoya australis subsp. rupicola/P1190817.JPG","","","","","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E282-02","7e837da19f7577a56b1b31c2566a767015b6d7d5265ae734dcfed2489b5b0596","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E282-06","6d08a6aeb147aac78fd9977632e79ab9e216ba68436ad33dba9b967f8a915d98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Non-flowering plant at tree base and foliage close-up complement flower photographs. Binomial-only folders do not verify the subspecies.","plant-b5116fa329233160","7","",""
"Hydriastele ramsayi","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Arecaceae Palms/Hydriastele ramsayi 9935.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/H H H/Hydriastele ramsayi (prev. Gronophyllum ramsayi)/_1230529.JPG","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E283-03","fd32c3f1506c6a6c0e3408cd47179dddc9ecb22a2501f7f3536167a81104633e","A","book image","PDF page 250; printed page 249; page-object index 1 (zero-based)","566x571","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p250-o1","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E283-09","6fd73bcd90e8d60e9b512f6c54812f3e7e25706fc301027bcd68341a53105714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Closer hanging leaves and reproductive structures; older book composite includes mature tall crowns. Additional sequence shows a younger low palm.","plant-fcbf077b3a450be1","6","",""
"Hydriastele wendlandiana","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/H H H/Hydriastele wendlandiana LNP/P1180609.JPG","/Volumes/Crucial X10/SD/H H H/Hydriastele wendlandiana LNP/TBC in garden next door to Paul Johns garden/_1280493.JPG","","","","","A","book image","PDF page 251; printed page 250; page-object index 1 (zero-based)","567x569","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p251-o1","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E284-04","2f58f44d8f523b079ee87a1d841d489386a79c50316d806a9a60102835747113","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E284-12","3b7b8e8ed681d6d26474cd13af19dd7d1ae16c6cfe8849b4044751ec47f41da8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Red fruiting bunch detail and older book palm-leaf/crown view complement existing broader palm groups. Additional green reproductive bunch is useful but belongs to an uncertain-labelled sequence.","plant-f5348c6a595e8348","9","",""
"Hypoestes floribunda","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/HH/Hypoestes floribunda/PICK/EXTRA/Hypoestes floribunda.791.a.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Acanthaceae Hypoestes/Hypoestes floribunda 2518.JPG","/Volumes/Crucial X10/SD/H H H/Hypoestes floribunda/_1290651.JPG","","","","","A","loose photograph","","1537x2049","gallery option","Species named in the filename.","E285-01","a08b7012c43c5533923d2141ca2e0f97fc24a0f15ccb0a9d6f65e753376eb1b7","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E285-02","eb2c52d38d225c1739ba3b1eda53d9b0f62a4f869df9b166d9fa3984b9491b7f","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E285-11","7cfeda6df0d7f86ea0bde9fde2bc953b00527ed690d9b74cec806d0adc77fbbd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Bud/flower spike and whole leafy flowering stem add structure to the existing flower profile. Additional sequence shows whole upright plant habit.","plant-fd522c291a35cdf3","10","",""
"Ilex arnhemensis subsp. arnhemensis","/Volumes/Crucial X10/SD/I I I/Ilex arnhemensis or I. arnhemensis subsp. arnhemensis. Bark smoothish, hard, mottled grey/_1100340 Ilex arnhemensis.JPG","/Volumes/Crucial X10/SD/I I I/Ilex arnhemensis or I. arnhemensis subsp. arnhemensis. Bark smoothish, hard, mottled grey/_1080843 Ilex arnhemensis, Robin Falls.JPG","","","","","","B","loose photograph","","4000x3000","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E286-01","e8067c4c83a3a4cb08c0b3e7b2a7157fb4e003e68d5138d40de53235a5cb6ba5","B","loose photograph","","4000x3000","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E286-02","60dc09ab6a0d6371f6854485beadc0c4e9415f892d4f3dda86ccbef01c3b9b29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Bark and wider leafy crown complement existing flower/bud details; species-only source names do not establish subspecies.","plant-2dc60b845b32f742","4","",""
"Intsia bijuga","/Volumes/Crucial X10/SD/# AA NEW SPECIES/Intsia bijuga (Merbau) endangered only at Rocky Bay nr Yirrkala; Indian & Pacific Is coasts & islands, SE Asia, PNG; highly prized timber/SELECT/Intsia bijuga flowers 1 #IM.jpg","/Volumes/Crucial X10/SD/# A A COMPLETED/Intsia bijuga (Kwila or Merbau)/_1250476.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Intsia bijuga (Kwila or Merbau)/P1030152.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Intsia bijuga (Kwila or Merbau)/_1040304.JPG","","","","A","loose photograph","","2001x2736","gallery option","Species named in the filename.","E287-01","46667f14c240303e37d87dd351807f57aae1951549543402cc4ba83a27bf20b4","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E287-04","25949b21f21147d840d2ec5074ea01d8bd03c06b51145dcfb7ee79b8320ab6ea","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E287-05","fc9c3f05ba03fd7d7d934d49232260dd6d2195c633766311e208e0a84954ea6a","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E287-07","806e35d32e595215424ef4d81ce96f2114bb2532c81f51c75c6e8b9ea29e064a","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Flower detail, leafy habit and trunk/bark are distinct additions to the existing flowering crown. Additional sequence shows a small young plant.","plant-7f7971c3dcae0f81","11","",""
"Ipomoea abrupta","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/II/Ipomoea abrupta/PICK/EXTRA/Ipomoea abrupta.389.a.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Convolvulaceac Ipomoea Polymeria/Ipomoea/Ipomoea abrupta 3413.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Convolvulaceac Ipomoea Polymeria/Ipomoea/Ipomoea abrupta 4 3  (2).JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Convolvulaceac Ipomoea Polymeria/Ipomoea/Ipomoea abrupta 90 (4).JPG","","","","A","loose photograph","","2020x2694","gallery option","Species named in the filename.","E288-01","4d550fc7950b1669039ba4656739fc553f9df6db9f9e715edd837554d07fcb32","A","loose photograph","","3648x2048","gallery option","Species named in the filename.","E288-03","12a0fb5fb34ebde3e30760674c0261751e64db5b82f89522e63e82e7c45ad506","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E288-06","a1f2a4d519295a9748685afcaa0fad6b894d72a03a55e3062217df0d56439bf0","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E288-08","5fe912f50a77f76fd03cb212b68756464b350f7be496e2deaf14cfcdec4c940d","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Climbing habit, face-on flower and heart-shaped leaf/flower context broaden the single existing photograph. Additional named file shows a folded flower/bud stage.","plant-ccd4b4dd687630df","6","",""
"Ipomoea aquatica","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/I I I/Ipomoea aquatica Fogg Dam/P1220911.JPG","","","","","","A","book image","PDF page 254; printed page 253; page-object index 2 (zero-based)","566x572","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p254-o2","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E289-02","16f2b81c2532e3cbd926bf2a97eb5b223cc0d14b756a11060f817c9f7b647663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Creeping non-flowering stem and older book long-leaf/flower context complement the existing flower photograph.","plant-8d56ff95c20ae075","4","",""
"Ipomoea pes-caprae subsp. brasiliensis","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/II/Ipomoea pes-caprae subsp. brasiliensis/PICK/EXTRA/Ipomoea pes-caprae subsp. brasiliensis.242.a.JPG","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/C. HERO SHOTS A-Z/II/PICK/Garden Mantis nymph, hunting aphids on Ipomoea pes-caprae.163.b.JPG","","","","","","A","loose photograph","","3542x1992","gallery option","Species named in the filename.","E290-02","9a7ba0a14934a5973ee703c5db4d81fa8a7666ac75b06bec36c28e39d0eb210b","B","loose photograph","","1713x2284","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E290-05","2bcd75b7a686323fc2eae44d8b8b3e2622efe876096c647d44a9d039438f677e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Runner with characteristic leaf shape on sand, plus mantis interaction. Species-only labels do not establish the subspecies.","plant-12cd5452b81e0076","13","",""
"Ipomoea violacea","/Volumes/Crucial X10/SD/I I I/Ipomoea violacea/_1090848.JPG","/Volumes/Crucial X10/SD/I I I/Ipomoea violacea/_1100010.JPG","","","","","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E291-06","96b951f94de0597172caacd780c27e7df6ef0ecfe06b7b2e518ef016bc7badd7","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E291-10","39f458afea7b590fb292b60de098e3c9d56b33f1fc905f9f46ef1ada0fe3189e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Non-flowering tangled foliage/stems add context; other shortlist images repeat current white flowers. Additional sequence has a useful side-on flower profile.","plant-c727b565b0b53704","10","",""
"Ixora timorensis","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/I I I/Ixora timorensis tbc/P1070859.JPG","","","","","","A","book image","PDF page 255; printed page 254; page-object index 1 (zero-based)","566x391","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p255-o1","","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E292-03","e7ddaba3f9708404f7aa1cb47e68f497e0fa4974e08440b9cb28226b6813f3ef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Book addition; loose leads need ID review","Closer floral branch is an uncertain-labelled lead; older authored book shows a different leafy flowering view.","plant-d46c4c3b4a2b5672","6","",""
"Jacksonia dilatata","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Jacksonia/Jacksonia dilatata 7610.JPG","/Volumes/Crucial X10/SD/J J J/Jacksonia dilatata/_1030524.JPG","","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E293-02","5ff5fa9f155a425873289feb419990f9f4fef5bf636eb6d3b3207df5a37e1be4","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E293-06","154660c9624259f2765e715068edb4724cea136968147d73db045df4c4c31087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Whole shrub and a later reproductive stage complement current flowers.","plant-8f0bf4ce0901cf19","6","",""
"Jacksonia odontoclada","/Volumes/Crucial X10/SD/# A A COMPLETED/Jacksonia odontoclada/P1050850.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Jacksonia odontoclada/P1050861.JPG","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E294-02","b89f6881f62e43a5a287fef8c70e33e1d1b2a9e36bece0540230c0b2d83ff2cf","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E294-04","cb613db851cfe13634d538f2d6fbd6c2d5376a2978b5295b7f427571d410a9d0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Whole flowering shrub and closer reproductive detail broaden the single existing photograph.","plant-345a2f4761702410","6","",""
"Jacksonia stellaris","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/JJ/Jacksonia stellaris/PICK/EXTRA/[Jacksonia][stellaris][][p][fl][IDC][0804][IDC10282][UprMagelaCk5].JPG","","","","","","","A","loose photograph","","2448x3264","gallery option","Species named in the filename.","E295-02","5bb65a703e5ab4bea7d6c21f269cdb969427d9b9366a70ad5e957a9fc821616a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Broader flower/dry-structure view is only a modest alternative; no distinct additional organ is established.","plant-047965d1a6846171","4","",""
